id,source,target,description,weight,links,in_context
150,웹프로그래밍,V024003,"웹프로그래밍 과목의 고유 코드는 V024003입니다. 두 개의 출처 모두 동일한 정보를 제공하고 있으며, 모순된 정보는 발견되지 않았습니다. 따라서 웹프로그래밍 과목의 고유 코드가 V024003이라는 주장은 신뢰할 수 있는 것으로 판단됩니다.",27.0,1,True
151,웹프로그래밍,HTTPS://HANSUNG.AC.KR/CURRICULUM/CSE/142/2672/ARTCLVIEW.DO,웹프로그래밍 과목에 대한 정보가 이 URL에 있습니다,1.0,1,True
152,웹프로그래밍,교과목 소개,웹프로그래밍은 교과목 소개의 일환으로 제공됩니다,18.0,1,True
153,웹프로그래밍,3,웹프로그래밍 과목은 3학점으로 구성되어 있습니다,2.0,1,True
168,한성대학교,웹공학,한성대학교는 웹공학 과정을 제공합니다,9.0,12,True
173,정병덕,웹공학,정병덕 교수는 웹공학 과목을 가르칠 수 있습니다,3.0,1,True
206,취창업 세미나,HTTPS://HANSUNG.AC.KR/CURRICULUM/CSE/142/2750/ARTCLVIEW.DO,취창업 세미나는 해당 URL에서 자세한 정보를 제공합니다,1.0,1,True
227,융합캡스톤디자인,HTTPS://HANSUNG.AC.KR/CURRICULUM/CSE/143/1255/ARTCLVIEW.DO,융합캡스톤디자인에 대한 정보가 포함된 웹페이지입니다,1.0,1,True
232,비즈니스 웹어플리케이션 구축 프로젝트,HTTPS://HANSUNG.AC.KR/CURRICULUM/CSE/144/3644/ARTCLVIEW.DO,비즈니스 웹어플리케이션 구축 프로젝트에 대한 정보는 이 URL에서 확인할 수 있습니다,1.0,3,True
258,웹공학,한성대학교,한성대학교는 웹공학 트랙을 제공하는 교육 기관입니다,9.0,12,True
259,웹공학,AI를 이용한 주식가치평가,AI를 이용한 주식가치평가는 웹공학 트랙의 필수 교과목입니다,8.0,1,True
260,웹공학,논리적 사고와 프로그래밍,논리적 사고와 프로그래밍은 웹공학 트랙의 필수 교과목입니다,8.0,1,True
261,웹공학,비즈니스 웹어플리케이션 구축 프로젝트,비즈니스 웹어플리케이션 구축 프로젝트는 웹공학 트랙의 필수 교과목입니다,8.0,3,True
262,웹공학,웹프로그래밍기초,웹프로그래밍기초는 웹공학 트랙의 전기 교과목입니다,8.0,1,True
263,웹공학,객체지향언어1,객체지향언어1은 웹공학 트랙의 전선 교과목입니다,8.0,1,True
264,웹공학,자료구조,자료구조는 웹공학 트랙의 전선 교과목입니다,8.0,1,True
265,웹공학,프로그래밍언어론,프로그래밍언어론은 웹공학 트랙의 전선 교과목입니다,1.0,2,True
266,웹공학,클라우드 환경,클라우드 환경은 웹공학의 핵심 기술 중 하나입니다,7.0,1,True
267,웹공학,IOT,IoT는 웹공학에서 다루는 중요한 기술입니다,7.0,1,True
268,웹공학,빅데이터,"빅데이터는 웹공학의 중요한 요소로, 데이터 처리 기술을 포함합니다",7.0,1,True
269,웹공학,금융,금융은 웹공학의 융합 서비스 중 하나입니다,6.0,1,True
270,웹공학,국방,국방은 웹공학의 융합 서비스 중 하나입니다,6.0,1,True
271,웹공학,재난안전,재난안전은 웹공학의 융합 서비스 중 하나입니다,6.0,1,True
272,웹공학,에너지,에너지는 웹공학의 융합 서비스 중 하나입니다,6.0,1,True
273,웹공학,웹 프레임워크,웹 프레임워크는 웹공학에서 필수적으로 사용되는 도구입니다,8.0,1,True
274,웹공학,실무 프로젝트 교육,실무 프로젝트 교육은 웹공학 트랙의 중요한 교육 내용입니다,8.0,1,True
275,웹공학,트랙 교육 목표,트랙 교육 목표는 웹공학 트랙의 교육적 방향을 제시합니다,7.0,1,True
276,웹공학,웹공학 캡스톤디자인,웹공학 캡스톤디자인은 웹공학 트랙의 필수 교과목입니다,1.0,1,True
342,웹프로그래밍기초 중간&기말시험,컴퓨터공학부,웹프로그래밍기초 중간&기말시험은 컴퓨터공학부에서 주관합니다,8.0,1,True
343,웹프로그래밍기초 중간&기말시험,2025.03.12,웹프로그래밍기초 중간시험은 2025년 3월 12일에 진행됩니다,9.0,1,True
344,웹프로그래밍기초 중간&기말시험,537,웹프로그래밍기초 중간시험은 537호에서 진행됩니다,9.0,1,True
345,웹프로그래밍기초 중간&기말시험,2025.03.10,웹프로그래밍기초 기말시험은 2025년 3월 10일에 진행됩니다,9.0,1,True
346,웹프로그래밍기초 중간&기말시험,558,웹프로그래밍기초 기말시험은 558호에서 진행됩니다,9.0,1,True
347,웹프로그래밍기초 중간&기말시험,웹프로그래밍기초,웹프로그래밍기초 중간&기말시험은 웹프로그래밍기초 과목의 평가입니다,8.0,1,True
451,웹프로그래밍,HTTPS://HANSUNG.AC.KR/CURRICULUM/CSE/144/2671/ARTCLVIEW.DO,웹프로그래밍 과목에 대한 정보는 이 URL에서 확인할 수 있습니다,1.0,1,True
486,프로그래밍언어론,HTTPS://HANSUNG.AC.KR/CURRICULUM/CSE/141/1608/ARTCLVIEW.DO,프로그래밍언어론 과목에 대한 정보는 해당 URL에서 확인할 수 있습니다,1.0,2,True
487,웹프로그래밍,HTTPS://HANSUNG.AC.KR/CURRICULUM/CSE/143/2673/ARTCLVIEW.DO,웹프로그래밍 과목에 대한 정보는 이 URL에서 확인할 수 있습니다,1.0,1,True
488,웹프로그래밍,교육과정소개,교육과정소개는 웹프로그래밍 과목에 대한 정보를 포함합니다,6.0,1,True
489,웹프로그래밍,학점,웹프로그래밍 과목은 3학점으로 구성되어 있습니다,1.0,1,True
501,비즈니스 웹어플리케이션 구축 프로젝트,HTTPS://HANSUNG.AC.KR/CURRICULUM/CSE/142/3642/ARTCLVIEW.DO,비즈니스 웹어플리케이션 구축 프로젝트에 대한 정보는 이 URL에서 확인할 수 있습니다,1.0,3,True
521,한성대학교,HTTPS://HANSUNG.AC.KR/CURRICULUM/CSE/141/1591/ARTCLVIEW.DO,한성대학교의 컴퓨터구조 과목에 대한 정보가 담긴 웹페이지입니다,1.0,12,True
